"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\dev\imersive vision\client\src\app\app\client\page.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\dev\imersive vision\client\src\app\app\complete-invoice\page.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\dev\imersive vision\client\src\app\app\components\varAcctions.tsx", "TypeScript JSX", 0, 41, 0, 0, 41
"c:\dev\imersive vision\client\src\app\app\hooks\useCredentials.tsx", "TypeScript JSX", 0, 13, 0, 3, 16
"c:\dev\imersive vision\client\src\app\app\login\page.tsx", "TypeScript JSX", 0, 147, 0, 8, 155
"c:\dev\imersive vision\client\src\app\app\method-payment\page.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\dev\imersive vision\client\src\app\app\page.tsx", "TypeScript JSX", 0, -3, 0, -1, -4
"c:\dev\imersive vision\client\src\app\app\project\[id]\page.tsx", "TypeScript JSX", 0, 14, 0, 3, 17
"c:\dev\imersive vision\client\src\app\app\project\components\projectPage.tsx", "TypeScript JSX", 0, 68, 11, 13, 92
"c:\dev\imersive vision\client\src\app\app\project\page.tsx", "TypeScript JSX", 0, 3, 0, 1, 4
"c:\dev\imersive vision\client\src\app\app\utilities\cookie.ts", "TypeScript", 4, 0, 0, 1, 5
"c:\dev\imersive vision\client\src\components\customInput.tsx", "TypeScript JSX", 0, 59, 0, 2, 61
"c:\dev\imersive vision\client\src\server\modules\project\domain\interfaces.ts", "TypeScript", 0, 0, 0, -1, -1
"c:\dev\imersive vision\client\src\server\modules\user\aplication\user.usecase.ts", "TypeScript", 9, 0, 0, 0, 9
"c:\dev\imersive vision\client\src\server\utilities\enums.ts", "TypeScript", 0, 0, 0, -1, -1
"c:\dev\imersive vision\client\src\utils\enums.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\dev\imersive vision\client\src\utils\validations.ts", "TypeScript", 3, 0, 0, 0, 3
"Total", "-", 15, 330, 11, 23, 379